ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date
Polska 1050|0|Autorzy cofną się do czasów Mieszka I i przedstawią sytuację w państwie Polan zaraz po chrzcie ich władcy. Odpowiedzą m.in. na pytanie, kiedy nastąpiło utworzenie pierwszego biskupstwa.|Film dokumentalny|3:30|4:05|20|2016-07-02
Parada oszustów|12|Kraków, lata 30. W sklepie jubilerskim Floriana Winiarskiego klientka przymierza naszyjnik. Po chwili mężczyzna, który twierdzi, że jest inspektorem policji, dokonuje aresztowania.|Serial sensacyjny|4:05|5:25|40|2016-07-02
Misja: integracja|7||0|5:25|5:40|0|2016-07-02
Podróże z góralem|0||0|5:40|5:50|0|2016-07-02
Powrót do Mirandy|12||0|5:50|0|0|2016-07-02
Czytanie Puszczy|12|Bohaterem jest Todar - Zmicier Wajciuszkiewicz, jeden z artystów Białorusi; artysta zakazany w swoim kraju za związki z opozycją. Występował na koncertach dla ratowania Puszczy Białowieskiej.|Program krajoznawczy|6:00|6:30|23|2016-07-01
Plebania|12|Krystyna załatwia dla Julki zaproszenie na bal przebierańców. Dziewczynka nie jest z tego zadowolona. Gdy Marek chce jej kupić strój na bal, Julka wykrzykuje mu w twarz, że nie można jej przekupić.|Telenowela|6:30|8:15|22|2016-07-01
Co niesie dzień|0|Autorzy programu prezentują najaktualniejsze i najciekawsze informacje ze wszystkich regionów kraju oraz zapowiedzi najważniejszych wydarzeń, które odbędą się w ciągu dnia.|Magazyn|8:15|0|21|2016-07-01
Telekurier|12|Program zgłębia tematy niechętnie ujawniane, takie jak korupcja, łamanie prawa, przyzwolenie na przemoc. Promuje pozytywne postawy ludzkie - walkę z patologią oraz pomoc drugiemu człowiekowi.|Cykl reportaży|8:45|9:15|23|2016-07-01
Pogoda|0|Codzienny serwis informacyjny z prognozą pogody.|Pogoda|9:15|9:20|2|2016-07-01
Jedź bezpiecznie|12|Program prezentuje ważne tematy z zakresu bezpieczeństwa ruchu drogowego. Pokazuje niebezpieczne miejsca na małopolskich drogach. Radzi, jak zachować się w trudnych sytuacjach drogowych.|Magazyn motoryzacyjny|9:20|9:35|10|2016-07-01
1200 muzeów|0||0|9:35|10:05|0|2016-07-01
Co niesie dzień|0|Autorzy programu prezentują najaktualniejsze i najciekawsze informacje ze wszystkich regionów kraju oraz zapowiedzi najważniejszych wydarzeń, które odbędą się w ciągu dnia.|Magazyn|10:05|10:35|21|2016-07-01
Psi psycholog|0|Twórcy dokumentu odwiedzają miejsca, gdzie doszło do najtrudniejszych przypadków psiej i kociej niesubordynacji. Program przedstawia, jak prawidłowo postępować z czworonożnymi ulubieńcami.|Telenowela dokumentalna|10:35|11:05|25|2016-07-01
Przechodzień codzienny|7||0|11:05|11:15|0|2016-07-01
Sprawa dla reportera|12||0|11:15|12:00|0|2016-07-01
Nożem i widelcem|7||0|12:00|12:15|0|2016-07-01
Okazja|12|Kasia poznaje nowego chłopaka. Hela jest o niego zazdrosna. Staszek ją wyśmiewa. Nie rozumie, jak można odczuwać zazdrość. Zmienia zdanie, gdy sam poznaje nowego chłopaka Kaśki.|Serial komediowy|12:15|12:45|24|2016-07-01
Antenowe remanenty|0||0|12:45|13:00|0|2016-07-01
Telezakupy|12|Magazyn reklamowy prezentujący artykuły gospodarstwa domowego, urządzenia do poprawy kondycji i zdrowia. Po zapoznaniu się z ofertą widzowie mogą telefonicznie zamówić wybrane towary.|Program reklamowy|13:00|13:20|15|2016-07-01
