ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date|channelNameURL
Łowcy aligatorów|0||0|10:00|11:00|0|2016-07-01|animal_planete_hd
Dwa oblicza survivalu|0||Serial dokumentalny|11:00|12:00|0|2016-07-01|animal_planete_hd
Dziki świat Tima|0||Serial dokumentalny|12:00|12:30|0|2016-07-01|animal_planete_hd
Dziki świat Tima|0||Serial dokumentalny|12:30|13:00|0|2016-07-01|animal_planete_hd
Policja dla zwierząt w Houston|0||0|13:00|14:00|0|2016-07-01|animal_planete_hd
Dog TV|0||Program dokumentalny|14:00|15:00|0|2016-07-01|animal_planete_hd
Szkoła przetrwania|0||Serial dokumentalny|15:00|16:00|0|2016-07-01|animal_planete_hd
Projekt "Akwarium"|0||0|16:00|17:00|0|2016-07-01|animal_planete_hd
Dziki świat Tima|0||Serial dokumentalny|17:00|17:30|0|2016-07-01|animal_planete_hd
Dziki świat Tima|0||Serial dokumentalny|17:30|18:00|0|2016-07-01|animal_planete_hd
Najniebezpieczniejszy zawód świata|0||0|18:00|19:00|0|2016-07-01|animal_planete_hd
Nietypowi pupile|0||Serial dokumentalny|19:00|20:00|0|2016-07-01|animal_planete_hd
Wszystko o psach|7||Serial dokumentalny|20:00|21:00|0|2016-07-01|animal_planete_hd
Dziki Frank w Brazylii|0||Serial dokumentalny|21:00|22:00|0|2016-07-01|animal_planete_hd
Policja dla zwierząt w Miami|0||Serial dokumentalny|22:00|23:00|0|2016-07-01|animal_planete_hd
Psy na służbie|0||0|23:00|0:00|0|2016-07-01|animal_planete_hd
Najniebezpieczniejszy zawód świata|0||0|0:00|1:00|0|2016-07-01|animal_planete_hd
Dziki Frank w Brazylii|0||Serial dokumentalny|1:00|2:00|0|2016-07-01|animal_planete_hd
Szkoła przetrwania|0||Serial dokumentalny|2:00|2:48|0|2016-07-01|animal_planete_hd
Łowcy aligatorów|0||0|2:48|3:36|0|2016-07-01|animal_planete_hd
Policja dla zwierząt w Miami|0||0|3:36|4:24|0|2016-07-01|animal_planete_hd
Dwa oblicza survivalu|0||Serial dokumentalny|4:24|5:12|0|2016-07-01|animal_planete_hd
Najniebezpieczniejszy zawód świata|0||0|5:12|0|0|2016-07-01|animal_planete_hd
Szaleństwo króla Jerzego|12||Dramat obyczajowy|4:25|6:15|107|2016-07-05|amc
Operacja "Bekon"|12||Komedia|6:15|7:50|91|2016-07-05|amc
Prawdziwe serce|12||Film przygodowy|7:50|0|92|2016-07-05|amc
W kręgu miłości|12||Film obyczajowy|9:20|11:05|105|2016-07-05|amc
Kandydat|16||Thriller|11:05|13:10|129|2016-07-05|amc
Operacja "Bekon"|12||Komedia|13:10|14:45|91|2016-07-05|amc
Na dobre i na złe|12||0|14:45|16:15|0|2016-07-05|amc
Dzisiejsze dziewczyny|12||0|16:15|17:40|0|2016-07-05|amc
Stanley i Iris|12||Dramat obyczajowy|17:40|19:25|104|2016-07-05|amc
Nim stanie się jasność|12||Komedia|19:25|21:00|94|2016-07-05|amc
Chłopcy|16||Dramat obyczajowy|21:00|22:25|86|2016-07-05|amc
Wydział Rosja|16||Film sensacyjny|22:25|0:25|119|2016-07-05|amc
Texasville|16||Dramat obyczajowy|0:25|2:30|123|2016-07-05|amc
Grzeszny żywot Isabel La Negra|12||Dramat obyczajowy|2:30|4:20|112|2016-07-05|amc
Jak wygrałem wojnę|12||Komedia|4:20|0|106|2016-07-05|amc
Ludzie pracy|12||Komedia sensacyjna|5:00|6:35|94|2016-07-04|amc
Wielki ekran|12||0|6:35|6:50|0|2016-07-04|amc
Bitwa o Anglię|12||Film wojenny|6:50|0|132|2016-07-04|amc
Niespełnione obietnice|12||Komedia|9:00|10:35|89|2016-07-04|amc
Narciarski patrol|12||Komedia|10:35|12:05|89|2016-07-04|amc
Zbrodnie i wykroczenia|12||Komediodramat|12:05|13:50|104|2016-07-04|amc
Prawdziwe serce|12||Film przygodowy|13:50|15:20|92|2016-07-04|amc
W kręgu miłości|12||Film obyczajowy|15:20|17:05|105|2016-07-04|amc
Przeżyliśmy wojnę|12||Dramat obyczajowy|17:05|19:10|126|2016-07-04|amc
Szaleństwo króla Jerzego|12||Dramat obyczajowy|19:10|21:00|107|2016-07-04|amc
Fear the Walking Dead|12||Serial grozy|21:00|21:45|0|2016-07-04|amc
Talking Dead: Fear Edition|12||Serial dokumentalny|21:45|22:30|0|2016-07-04|amc
Fear the Walking Dead|12||Serial grozy|22:30|23:15|0|2016-07-04|amc
Zjawy|12||Komedia|23:15|0:50|99|2016-07-04|amc
